,index,tract_id_proper,ci_score,op_score,so,srb,shs,chc,County FIPS Code,tract,tract_id
169,233,112.01,1.0,3.75,0.15737777777777778,0.2574222222222222,0.15986666666666668,0.0,49,42049011201,011201
170,234,112.02,1.0,3.6666666666666665,0.17696666666666663,0.28613333333333335,0.10236666666666666,0.0033333333333333335,49,42049011202,011202
171,235,1120,2.0,3.25,0.17085,0.33805,0.58515,0.005,69,42069112000,112000
172,236,1120.01,2.0,3.0625,0.21575,0.225425,0.33145,0.0025,39,42039112001,112001
173,237,1120.02,1.5,3.0,0.2094,0.2243666666666667,0.26176666666666665,0.0033333333333333335,39,42039112002,112002
174,238,1121,2.5,3.35,0.17652,0.34975999999999996,0.4184,0.0,69,42069112100,112100
175,239,1122,3.0,3.25,0.17085,0.33805,0.58515,0.005,69,42069112200,112200
176,240,1123,2.5,3.1666666666666665,0.1623,0.3558333333333333,0.5774666666666667,0.0033333333333333335,69,42069112300,112300
177,241,1124,1.0,3.5,0.19167499999999998,0.35197500000000004,0.387975,0.0,69,42069112400,112400
178,242,1125,3.0,3.3125,0.20685,0.36355,0.41414999999999996,0.0,69,42069112500,112500
179,243,1126,2.5,3.4166666666666665,0.2215666666666667,0.3373333333333333,0.3551333333333333,0.0,69,42069112600,112600
180,244,1127,2.0,3.0833333333333335,0.18889999999999998,0.35559999999999997,0.43553333333333333,0.0,69,42069112700,112700
181,245,1128,2.0,3.3333333333333335,0.18889999999999998,0.3558666666666667,0.38706666666666667,0.0,69,42069112800,112800
182,246,1129.01,1.0,3.5833333333333335,0.20316666666666663,0.3557333333333334,0.21686666666666668,0.0,69,42069112901,112901
183,247,1129.02,1.5,3.875,0.19674999999999998,0.3317,0.12029999999999999,0.0,69,42069112902,112902
184,248,113,2.8333333333333335,3.260869565217391,0.1924565217391305,0.303939130434782,0.33036521739130476,0.00043478260869565214,13,42013011300,011300
185,249,113.01,1.8333333333333333,3.458333333333334,0.1696333333333333,0.3455833333333333,0.16405,0.0033333333333333335,41,42041011301,011301
186,250,113.02,1.6666666666666667,3.3125,0.1606,0.3252374999999999,0.21672499999999995,0.0025,81,42081011302,011302
187,251,113.03,1.0,3.723333333333333,0.1624,0.3163,0.06979999999999999,0.0,41,42041011303,011303
188,252,113.04,1.0,3.71,0.17654999999999998,0.3418,0.060450000000000004,0.0,41,42041011304,011304
189,253,113.05,1.0,3.723333333333333,0.1834,0.33476666666666666,0.07740000000000001,0.0,41,42041011305,011305
190,254,114,2.4545454545454546,3.40909090909091,0.17393636363636325,0.298886363636364,0.23327727272727283,0.0004545454545454545,101,42101011400,011400
191,255,115,2.2142857142857144,3.3461538461538463,0.19055769230769226,0.24752307692307718,0.26318846153846176,0.0007692307692307691,55,42055011500,011500
192,257,115.02,3.0,4.0,0.125775,0.314125,0.17060000000000003,0.0,27,42027011502,011502
193,258,115.03,2.0,3.5,0.16743333333333332,0.38833333333333336,0.12060000000000003,0.0033333333333333335,49,42049011503,011503
194,259,115.04,2.0,3.6666666666666665,0.16416666666666666,0.37061666666666665,0.1531,0.0,71,42071011504,011504
195,260,115.05,1.5,3.1666666666666665,0.18336666666666668,0.2856666666666667,0.17393333333333336,0.0033333333333333335,49,42049011505,011505
196,261,115.07,1.5,3.1666666666666665,0.17376666666666665,0.26053333333333334,0.13993333333333333,0.0,49,42049011507,011507
197,262,116,2.142857142857143,3.625,0.16099375000000024,0.2799937499999997,0.20333750000000012,0.0,13,42013011600,011600
198,263,116.01,2.0,3.625,0.18197500000000003,0.353825,0.20159999999999997,0.0,11,42011011601,011601
199,264,116.02,1.6666666666666667,3.6785714285714284,0.16988571428571425,0.3533571428571428,0.18574285714285713,0.0,41,42041011602,011602
200,265,116.03,1.0,3.4375,0.159975,0.3699,0.273225,0.0025,11,42011011603,011603
201,267,117,2.0,3.2715789473684205,0.17527368421052644,0.26010526315789484,0.3125736842105263,0.0,101,42101011700,011700
202,268,117.01,1.5,3.9722222222222223,0.15542222222222224,0.4286777777777775,0.2816888888888889,0.0011111111111111111,11,42011011701,011701
203,269,117.02,1.5,3.772727272727273,0.1426181818181818,0.2728636363636364,0.17522727272727276,0.0,27,42027011702,011702
204,270,117.03,1.0,4.166666666666667,0.17321666666666666,0.37424999999999997,0.1578333333333333,0.0,71,42071011703,011703
205,273,118,2.2142857142857144,3.4411764705882355,0.1853058823529411,0.2996999999999999,0.28034705882352934,0.001176470588235294,27,42027011800,011800
206,274,118.01,1.3333333333333333,3.4499999999999997,0.17017000000000004,0.27070000000000005,0.13936999999999997,0.001,41,42041011801,011801
207,275,118.02,1.5,3.392857142857143,0.17252857142857142,0.2575571428571428,0.18879999999999994,0.0,41,42041011802,011802
208,276,118.03,1.25,3.7074999999999996,0.16487500000000002,0.25555,0.09342500000000001,0.0025,41,42041011803,011803
209,277,118.04,1.5,3.875,0.18860000000000002,0.36974999999999997,0.0843,0.0,71,42071011804,011804
210,278,118.05,3.5,3.8333333333333335,0.15636666666666668,0.3787666666666667,0.1922,0.006666666666666667,71,42071011805,011805
211,279,119,2.8,3.314444444444444,0.19111111111111106,0.28712222222222217,0.29915555555555545,0.0011111111111111111,55,42055011900,011900
212,280,119.01,1.1666666666666667,3.8225,0.1684125,0.29995,0.13728749999999995,0.00125,71,42071011901,011901
213,281,119.02,1.5,4.006666666666668,0.15769166666666673,0.3581499999999999,0.14937500000000004,0.0008333333333333334,27,42027011902,011902
214,282,119.03,1.0,3.9375,0.1609,0.31715000000000004,0.20904999999999999,0.0,11,42011011903,011903
215,283,119.04,2.0,4.0,0.15375,0.37760000000000005,0.18409999999999999,0.0,11,42011011904,011904
216,284,12,3.7142857142857144,3.25,0.17163076923076911,0.349492307692308,0.43605384615384646,0.003076923076923078,107,42107001200,001200
217,285,12.01,1.0,4.875,0.1587,0.43685,0.44915,0.005,101,42101001201,001201
218,286,12.02,1.5,5.0,0.14273333333333332,0.3469333333333333,0.4192,0.006666666666666667,101,42101001202,001202
219,287,120,2.7,3.4006250000000007,0.17471874999999998,0.27531874999999995,0.2562999999999999,0.001875,55,42055012000,012000
220,288,120.01,1.6666666666666667,3.5357142857142856,0.16282857142857146,0.27382857142857137,0.2468142857142857,0.0,49,42049012001,012001
221,289,120.02,2.3333333333333335,3.5833333333333335,0.17383333333333337,0.34049999999999997,0.20943333333333328,0.0,49,42049012002,012002
222,292,1207,4.5,3.625,0.16365000000000002,0.42745,0.50105,0.01,3,42003120700,120700
